Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0206901197551754,-1.27048075674319E-05,-0.024985130325309,0,0,0,4.2259789874892,0.0405271020441637,2.62638993629904E-07,2.94726171996408E-09,0.0342449774322416,-1.90622214384226E-09,0.0739089051586613,0,0,0,0,0,0,package://urdf_non/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_non/meshes/base_link.STL,,base_link_non v4-1;AssemblyGripper-1,Coordinate_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_wheel_left,-1.11022302462516E-16,-0.0099999999999999,0,0,0,0,0.172530421663568,0.000136173124630135,1.64399906935272E-18,2.81325095681818E-22,0.000262751529741945,-2.44362684100325E-19,0.000136173124630135,0,0,0,0,0,0,package://urdf_non/meshes/link_wheel_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_non/meshes/link_wheel_left.STL,,Rubber wheel v2-1,Coordinate_left,Axis_left,joint_wheel_left,revolute,0.010229,0.278,-0.0549,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
link_wheel_right,1.11022302462516E-16,0.01,2.88657986402541E-15,0,0,0,0.172530421663567,0.000136173124630134,1.64925929693813E-18,2.03387324110904E-20,0.000262751529741944,-1.29408353917935E-19,0.000136173124630134,0,0,0,0,0,0,package://urdf_non/meshes/link_wheel_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_non/meshes/link_wheel_right.STL,,Rubber wheel v2-2,Coordinate_right,Axis_right,joint_wheel_right,revolute,0.010229,-0.278,-0.0549,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
